Algorithm,N_Clusters,Silhouette,Davies_Bouldin,Calinski_Harabasz,Noise_Points
K-Means,4,0.4772256659793799,2.188789587625598,618.7286119032723,0
Agglomerative (Ward),4,0.42384369245688963,2.239866805320696,522.3430153804071,0
DBSCAN,4,0.6112618712821506,0.8362567841433307,144.44933522646204,337
