Variant,K,Silhouette,Variance_Explained,Mean_Inter_Dist,Min_Inter_Dist,Mean_Intra_Compact
baseline_binary,3.0,0.47386581105154674,0.40050751007740126,4.898752980820899,3.3473583761337253,1.9823668154558138
variant_a_weighted,4.0,0.5334750850234365,0.38821336202679957,23.422945227301042,18.292514044967056,9.408511485923595
variant_b_binary_rfm,3.0,0.5136979709275427,0.3951207189746323,58.34462276136443,5.103824199846651,1.8739802977123767
variant_c_weighted_rfm,3.0,0.4623124299390703,0.3767678626709955,18.00881475305647,11.067061569037568,7.013823046291417
