Variant,K,Features,RFM,N_Features,Sparsity_%,Silhouette,Variance_%,Inter_Dist,Intra_Compact,Max_Cluster_%,Min_Cluster_%,Cluster_Imbalance
baseline_binary,3,Binary,No,175,93.11196123437898,0.4738658110515467,40.05075100774012,4.898752980820899,1.9823668154558136,84.2642183116552,5.738332058148432,78.52588625350677
variant_a_weighted,4,Weighted,No,175,93.11196123437898,0.5334750850234365,38.82133620267995,23.42294522730104,9.408511485923595,79.87758224942617,5.075235909206835,74.80234634021933
variant_b_binary_rfm,3,Binary,Yes,178,93.11196123437898,0.5136979709275427,39.51207189746323,58.34462276136443,1.8739802977123767,88.72736546799285,0.02550369803621525,88.70186176995664
variant_c_weighted_rfm,3,Weighted,Yes,178,15.428571428571427,0.4623124299390703,37.67678626709955,18.00881475305647,7.013823046291417,84.36623310380004,5.7128283601122165,78.65340474368783
