Algorithm,N_Clusters,Silhouette,Davies-Bouldin,Calinski-Harabasz,Noise_Points,Min_Cluster_Size_%,Max_Cluster_Size_%,Noise_%
K-Means,4,0.4772256659793799,2.188789587625598,618.7286119032723,0,4.055087987758225,80.64269319051263,0.0
Agglomerative (Ward),4,0.42384369245688963,2.239866805320696,522.3430153804071,0,1.8362662586074983,79.7755674572813,0.0
DBSCAN,4,0.6112618712821506,0.8362567841433307,144.44933522646204,337,0.16741071428571427,99.21875,8.59474623820454
